Name,ID Enterobase,Country,District,Collection Year,Source Type,Accession number SRA/NCBI,Reference
IP2212,YER_CA6861AA_AS,Madagascar,Antananarivo Renivohitra,2000,Invertebrates,SRR21998354,
IP2214,YER_CA6887AA_AS,Madagascar,Antananarivo Renivohitra,2000,Invertebrates,SRR21998352,
IP2213,YER_CA6822AA_AS,Madagascar,Antananarivo Renivohitra,2000,Rodent,SRR21998353,
IP2215,YER_CA6883AA_AS,Madagascar,Antananarivo Renivohitra,2000,Rodent,SRR21998351,
IP2210,YER_CA6829AA_AS,Madagascar,Miarinarivo,2001,Human,SRR21998356,
IP2211,YER_CA6892AA_AS,Madagascar,Antananarivo Renivohitra,2001,Human,SRR21998355,
IP2208,YER_CA6833AA_AS,Madagascar,Mahajanga I,2014,Rodent,SRR21998357,
,,,,,,,
References,,,,,,,
"1. Vogler AJ, Chan F, Nottingham R, Andersen G, Drees K, BeckstromSternberg SM, et al. A decade of plague in Mahajanga, Madagascar: Insights into the global maritime spread of pandemic plague. MBio. 2013;41:1–10. ",,,,,,,
"2.Morelli G, Song Y, Mazzoni CJ, Eppinger M, Wagner DM, Feldkamp M, et al. Europe PMC Funders Group Phylogenetic diversity and historical patterns of pandemic spread of Yersinia pestis. Nat Genet. 2010;4212:1140–3",,,,,,,
"3. Vogler A J, Andrianaivoarimanana V, Telfer S, Hall C, Sahl J W, Hepp C M, et al. Temporal phylogeography of Yersinia pestis in Madagascar: Insights into the longterm maintenance of plague. PLoS neglected tropical diseases. 2017; 119, e0005887",,,,,,,
